type,filename,dokid,datokode,tittel,korttittel,departement,etat,rettsomraade,i_kraft,siste_endring_i_kraft,sist_endret_ved,publisert_i,gjelder_for,siste_rettelse,refid,url
lov,nl-20200424-032.xml,NL/lov/2020-04-24-32,LOV-2020-04-24-32,Lov om endringer i verdipapirhandelloven (forskriftshjemmel om tilbudsprisen ved pliktig tilbud) og lov om endringer i pakkereiseloven (forskriftshjemmel om forlengelse av frist for tilbakebetaling),Endringslov til verdipapirhandelloven og pakkereiseloven,Finansdepartementet,,"Næringsrett > Reiseliv Selskaper, fond og foreninger > Fond","2020-04-24, Kongen bestemmer",,,,,,lov/2020-04-24-32,https://lovdata.no/lov/2020-04-24-32
lov,nl-20200507-037.xml,NL/lov/2020-05-07-37,LOV-2020-05-07-37,Lov om medisinsk utstyr,Lov om medisinsk utstyr,Helse- og omsorgsdepartementet,,EU/EØS-rett > Helse Helse- og omsorgsrett Næringsrett > Handel og tjenester,"2020-05-07, 2021-05-26",2026-01-01,"lov/2025-04-25-12 fra 2026-01-01, lov/2025-06-20-76 fra 2025-07-01",,,2023-02-16 (EØS-henvisninger),lov/2020-05-07-37,https://lovdata.no/lov/2020-05-07-37
lov,nl-20200507-038.xml,NL/lov/2020-05-07-38,LOV-2020-05-07-38,Midlertidig lov om rekonstruksjon for å avhjelpe økonomiske problemer som følge av utbrudd av covid-19 (rekonstruksjonsloven),Rekonstruksjonsloven,Justis- og beredskapsdepartementet,,"Konkurs, gjeld og pant > Gjeldsforhandling. Konkurs Konkurs, gjeld og pant > Gjeldsordning Konkurs, gjeld og pant > Pant",2020-05-11,2026-06-19,lov/2026-06-19-48,,,,lov/2020-05-07-38,https://lovdata.no/lov/2020-05-07-38
lov,nl-20200507-040.xml,NL/lov/2020-05-07-40,LOV-2020-05-07-40,Lov om tilrettelegging for utbygging av høyhastighetsnett for elektronisk kommunikasjon (bredbåndsutbyggingsloven),Bredbåndsutbyggingsloven,Digitaliserings- og forvaltningsdepartementet,,IKT- og medierett > Telekommunikasjon Transport og kommunikasjoner > Veitrafikk,"2020-07-01, 2021-10-01",2026-01-01,lov/2025-04-25-12 fra 2026-01-01,,,2024-01-01 (ansvarlig departement),lov/2020-05-07-40,https://lovdata.no/lov/2020-05-07-40
lov,nl-20200512-041.xml,NL/lov/2020-05-12-41,LOV-2020-05-12-41,"Lov om informasjonstilgang mv. for Kommisjonen for å granske fornorskingspolitikk og urett overfor samer, kvener og norskfinner",Lov om informasjonstilgang (fornorskingspolitikk),Kommunal- og distriktsdepartementet,,IKT- og medierett > Personopplysninger Samerett > Diskriminering,2020-05-12,2023-06-01,lov/2020-05-12-41 fra 2023-06-01,,,,lov/2020-05-12-41,https://lovdata.no/lov/2020-05-12-41
lov,nl-20200529-059.xml,NL/lov/2020-05-29-59,LOV-2020-05-29-59,Lov om redaksjonell uavhengighet og ansvar i redaktørstyrte journalistiske medier (medieansvarsloven),Medieansvarsloven,Kultur- og likestillingsdepartementet,,Erstatnings- og forsikringsrett > Skadeserstatning IKT- og medierett > Kringkasting,2020-07-01,,,,,2022-03-10 (tegnsetting i lister tilpasset universell utforming),lov/2020-05-29-59,https://lovdata.no/lov/2020-05-29-59
lov,nl-20200619-077.xml,NL/lov/2020-06-19-77,LOV-2020-06-19-77,Lov om Etterretningstjenesten (etterretningstjenesteloven),Etterretningstjenesteloven,Forsvarsdepartementet,,"IKT- og medierett > Personopplysninger IKT- og medierett > Telekommunikasjon Kultur, idrett og underholdning > Arkiv Stats-, statsforfatnings- og statsborgerrett > Forsvaret","2021-01-01, 2022-01-01, 2022-09-02",2025-01-01,lov/2024-12-13-76 fra 2025-01-01,,,2022-03-10 (tegnsetting i lister tilpasset universell utforming),lov/2020-06-19-77,https://lovdata.no/lov/2020-06-19-77
lov,nl-20200619-095.xml,NL/lov/2020-06-19-95,LOV-2020-06-19-95,Lov om infrastruktur for alternativt drivstoff,Lov om infrastruktur for alternativt drivstoff,Samferdselsdepartementet,,EU/EØS-rett > Transport Transport og kommunikasjoner,2020-07-01,2023-07-01,lov/2023-06-16-74 fra 2023-07-01,,,,lov/2020-06-19-95,https://lovdata.no/lov/2020-06-19-95
lov,nl-20200623-110.xml,NL/lov/2020-06-23-110,LOV-2020-06-23-110,Lov om midlertidig kompensasjonsordning for arbeidsgivere med nullsats for beregning av arbeidsgiveravgift (Sone V og Svalbard),Lov om midl. kompensasjon ved nullsats for arbeidsgiveravgift,Finansdepartementet,,Skatte- og avgiftsrett > Folketrygdavgift > Arbeidsgiveravgift,2020-06-23,,,,,,lov/2020-06-23-110,https://lovdata.no/lov/2020-06-23-110
lov,nl-20200623-098.xml,NL/lov/2020-06-23-98,LOV-2020-06-23-98,Lov om behandling av forbrukerklager i Forbrukertilsynet og Forbrukerklageutvalget (forbrukerklageloven),Forbrukerklageloven,Barne- og familiedepartementet,,"Forbruker-, kjøps- og konkurranserett > Forbrukerkjøp Næringsrett > Handel og tjenester Næringsrett > Håndverk Næringsrett > Reiseliv Sivil- og straffeprosess > Sivilprosess/tvisteloven",2021-01-01,2025-01-01,lov/2024-06-25-56 fra 2025-01-01,,,2022-03-10 (tegnsetting i lister tilpasset universell utforming),lov/2020-06-23-98,https://lovdata.no/lov/2020-06-23-98
